Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0092,登良路,20,121,6.0,8,1,18.2,24.0,Residential,0.65,3.5,40.0,113.928783,22.511769
P0093,登良路,20,152,7.6,19,1,22.8,57.0,Residential,0.65,3.5,40.0,113.928542,22.512302
P0094,登良路,20,146,7.3,19,1,21.9,57.0,Residential,0.65,3.5,40.0,113.927226,22.512781
P0095,登良路,20,169,8.4,19,1,25.3,57.0,Residential,0.5,2.5,40.0,113.926726,22.513167
P0096,登良路,20,175,8.8,19,2,26.2,57.0,Residential,0.5,2.5,40.0,113.925289,22.513411
P0097,登良路,20,158,7.9,19,1,23.7,57.0,Residential,0.65,3.5,40.0,113.924438,22.513618
P0098,登良路,20,179,9.0,19,1,26.8,57.0,Residential,0.5,2.5,40.0,113.925254,22.513826
P0099,登良路,20,162,8.1,19,1,24.3,57.0,Residential,0.5,2.5,40.0,113.925556,22.514035
P0100,登良路,20,165,8.2,19,1,24.8,57.0,Residential,0.5,2.5,40.0,113.925532,22.514242
P0101,登良路,20,161,8.0,19,4,24.2,57.0,Residential,0.5,2.5,40.0,113.92523,22.514415
P0102,登良路,20,150,7.5,19,4,22.5,57.0,Residential,0.65,3.5,40.0,113.925583,22.514596
P0103,登良路,20,155,7.8,19,6,23.2,57.0,Residential,0.65,3.5,40.0,113.924688,22.514785
P0104,登良路,20,165,8.2,19,6,24.8,57.0,Residential,0.5,2.5,40.0,113.925678,22.514995
P0105,登良路,20,215,10.8,31,6,32.2,93.0,Residential,0.5,2.5,40.0,113.926547,22.515188
P0106,登良路,20,271,13.6,31,1,40.7,93.0,Residential,0.5,2.5,40.0,113.927639,22.515525
P0107,登良路,20,258,12.9,31,1,38.7,93.0,Residential,0.5,2.5,40.0,91.075082,45.367389
P0108,登良路,20,249,12.4,31,1,37.3,93.0,Residential,0.5,2.5,40.0,68.221995,68.21925
P0109,登良路,20,197,9.8,31,1,29.6,93.0,Residential,0.5,2.5,40.0,45.368857,91.07113
P0110,登良路,20,129,6.4,7,6,19.4,21.0,Residential,0.65,3.5,40.0,22.514362,113.922905
P0111,登良路,20,128,6.4,7,6,19.2,21.0,Residential,0.65,3.5,40.0,22.514323,113.923257
P0112,登良路,20,125,6.2,8,1,18.8,24.0,Residential,0.65,3.5,40.0,22.513553,113.924729
P0113,登良路,20,144,7.2,19,1,21.6,57.0,Residential,0.65,3.5,40.0,22.513087,113.926324
P0114,登良路,20,217,10.8,31,1,32.6,93.0,Residential,0.5,2.5,40.0,22.513233,113.928483
P0115,文华路,20,126,6.3,8,1,18.9,24.0,Residential,0.65,3.5,40.0,113.944301,22.549344
P0116,文华路,20,132,6.6,8,1,19.8,24.0,Residential,0.65,3.5,40.0,113.944355,22.549636
P0117,文华路,20,128,6.4,8,1,19.2,24.0,Residential,0.65,3.5,40.0,113.944331,22.549842
P0118,文华路,20,118,5.9,8,1,17.7,24.0,Residential,0.65,3.5,40.0,113.944178,22.549992
P0119,文华路,20,96,4.8,7,1,14.4,21.0,Residential,0.65,3.5,40.0,113.944014,22.550125
P0120,文华路,20,87,4.4,7,1,13.0,21.0,Residential,0.65,3.5,40.0,113.943843,22.55027
P0121,文华路,20,89,4.4,7,1,13.4,21.0,Residential,0.65,3.5,40.0,113.943958,22.550427
P0122,文华路,20,78,3.9,7,1,11.7,21.0,Residential,0.65,3.5,40.0,113.944308,22.550564
P0123,文华路,20,81,4.0,7,1,12.1,21.0,Residential,0.65,3.5,40.0,113.944825,22.550676
P0124,文华路,20,78,3.9,7,3,11.7,21.0,Residential,0.65,3.5,40.0,113.944833,22.550762
P0125,文华路,20,70,3.5,7,3,10.5,21.0,Residential,0.65,3.5,40.0,113.945063,22.550827
P0126,文华路,20,74,3.7,7,3,11.1,21.0,Residential,0.65,3.5,40.0,113.945093,22.550893
P0127,文华路,20,78,3.9,7,3,11.7,21.0,Residential,0.65,3.5,40.0,113.94494,22.55097
P0128,文华路,20,72,3.6,7,1,10.8,21.0,Residential,0.65,3.5,40.0,113.944979,22.551036
P0129,文华路,20,78,3.9,7,1,11.7,21.0,Residential,0.65,3.5,40.0,113.94514,22.551104
